ProtocolVersion,DebateId,TopicId,FocalCandidate,OpponentCandidate,FocalModel,OpponentModel,FocalPosition,FocalStarted,InterventionDirection,FocalWordsOriginal,OpponentWords,RelativeLengthGap,TargetWords,PresentationOrder,SourceSha256
2026-09-04-exp2b-report-v1,207,mega_event_hosting,Model1,Model2,meta-llama-3.1-8b-instruct,qwen3-30b-a3b-instruct-2507,B,false,expansion,503,663,0.241327,663,focal_second,744bed3d524bdef948d9bbc046c8b9ac653e9e2c5c8c0e370f3cef1863f43163
2026-09-04-exp2b-report-v1,208,mega_event_hosting,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,A,false,compression,661,491,0.257186,491,focal_first,35a7646053b4686fb58ac3c8e2e9c69e789f85a69dd2ec21c2fe6b2bc65e3ecd
2026-09-04-exp2b-report-v1,209,mega_event_hosting,Model2,Model1,meta-llama-3.1-8b-instruct,gemma-4-31b-it,A,true,expansion,497,607,0.181219,607,focal_second,6332d7404e9f04e46063216dca46c7bba19839daeb3339ad8da38fa0651176d2
2026-09-04-exp2b-report-v1,211,mega_event_hosting,Model2,Model1,meta-llama-3.1-8b-instruct,gemma-4-31b-it,B,false,expansion,454,548,0.171533,548,focal_first,70c30bb84dc508496f908c53f0502c180f8551b84c0e14a6e285abe2f941d5e5
2026-09-04-exp2b-report-v1,215,mega_event_hosting,Model1,Model2,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,A,true,expansion,581,679,0.144330,679,focal_second,1b7b571bdb731c6093fe3cef79edcfdb45f3ad6b3353014023cc6b7d8f1d02fb
2026-09-04-exp2b-report-v1,218,political_ads,Model1,Model2,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,A,false,compression,698,544,0.220630,544,focal_second,a80719e7df0b53edfec3a81f61f342eb6f03a1e68049a5fcad9ca83443e7a77d
2026-09-04-exp2b-report-v1,219,political_ads,Model1,Model2,apertus-70b-instruct-2509,meta-llama-3.1-8b-instruct,B,false,compression,653,499,0.235835,499,focal_first,2dcbff770fecf9e4ee1b2d2dab1871e5e14098f8255883a6297050c825fc0fab
2026-09-04-exp2b-report-v1,225,political_ads,Model2,Model1,gemma-4-31b-it,apertus-70b-instruct-2509,B,false,expansion,630,696,0.094828,696,focal_first,e5e9d0c1abaee6c2305d5eef040e230daec24cb978e5db18a7e34b4b09a7b37b
2026-09-04-exp2b-report-v1,227,political_ads,Model2,Model1,gemma-4-31b-it,apertus-70b-instruct-2509,A,true,expansion,614,696,0.117816,696,focal_first,cc91ebef9670cc51e29dc3de5974d9b0fac04295aca6a3380279d26a5dbec694
2026-09-04-exp2b-report-v1,228,political_ads,Model1,Model2,apertus-70b-instruct-2509,gemma-4-31b-it,B,true,expansion,633,692,0.085260,692,focal_first,1c5f423e35a65b0c1d130c88f277bbaf2f62f98b8a2c7c6801da825b4865d2a1
2026-09-04-exp2b-report-v1,229,political_ads,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,B,false,compression,676,544,0.195266,544,focal_second,ba91409323377c32c91399a1c39b4d472cc981b6d9fb4988bea2e2e6a868b23a
2026-09-04-exp2b-report-v1,230,political_ads,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,B,true,compression,656,557,0.150915,557,focal_second,5ff178db6925b7969702d796bbd0f51c0c7541fa562b2068c17def85843ced4f
2026-09-04-exp2b-report-v1,232,political_ads,Model2,Model1,qwen3-30b-a3b-instruct-2507,meta-llama-3.1-8b-instruct,A,false,compression,645,545,0.155039,545,focal_second,e1c34463db625f8598916ed7254380fe32a7de220032633f8810c0a251fc68fb
2026-09-04-exp2b-report-v1,233,political_ads,Model2,Model1,meta-llama-3.1-8b-instruct,gemma-4-31b-it,A,true,expansion,573,635,0.097638,635,focal_first,5312a7b41b048386801f744701a20005eb770a9125b1c67e7c62180a05d78682
2026-09-04-exp2b-report-v1,239,political_ads,Model1,Model2,gemma-4-31b-it,qwen3-30b-a3b-instruct-2507,A,true,expansion,612,680,0.100000,680,focal_first,20eee6272d7b82a09882194f98da47f3ecdde8146675218ad4105ed7e57434d4
